lon,lat
-121.719484,36.195238
-121.718311,36.194945
-121.716844,36.193478
-121.716844,36.192598
-121.71655,36.192011
-121.71479,36.190838
-121.714204,36.190838
-121.713324,36.189958
-121.712737,36.189958
-121.71215,36.189664
-121.71039,36.187904
-121.709803,36.185264
-121.70775,36.183504
-121.706576,36.183211
-121.70599,36.182624
-121.704816,36.182331
-121.703936,36.181744
-121.703643,36.180864
-121.70335,36.179104
-121.701003,36.176757
-121.700416,36.175583
-121.699536,36.17441
-121.698363,36.174117
-121.696309,36.172943
-121.694256,36.17089
-121.692495,36.17089
-121.689269,36.16913
-121.688388,36.168543
-121.687802,36.167663
-121.686628,36.167663
-121.686335,36.167076
-121.685162,36.166783
-121.683695,36.165316
-121.683108,36.165316
-121.681055,36.165023
-121.680468,36.164729
-121.679588,36.163556
-121.678414,36.163263
-121.676948,36.162089
-121.676948,36.160916
-121.675774,36.158862
-121.674307,36.157102
-121.674014,36.156222
-121.671081,36.153582
-121.6702,36.153582
-121.669614,36.152702
-121.66932,36.151528
-121.66844,36.150942
-121.667267,36.150648
-121.666387,36.149475
-121.666387,36.149475
-121.664627,36.147715
-121.663453,36.147421
-121.660226,36.144488
-121.660226,36.143314
-121.659346,36.141554
-121.656706,36.138621
-121.656119,36.138327
-121.654946,36.138327
-121.653479,36.136861
-121.652599,36.136567
-121.651719,36.134807
-121.651719,36.13334
-121.651132,36.13246
-121.650252,36.131874
-121.649372,36.13158
-121.648786,36.130114
-121.647612,36.12894
-121.647612,36.12806
-121.647025,36.127473
-121.646732,36.126887
-121.646439,36.126007
-121.645852,36.125713
-121.644679,36.125713
-121.643799,36.124833
-121.643505,36.12454
-121.642332,36.123953
-121.642038,36.12366
-121.640278,36.12278
-121.639398,36.1219
-121.639105,36.121606
-121.637345,36.121606
-121.635291,36.119259
-121.634411,36.116913
-121.634411,36.116619
-121.635291,36.115739
-121.635291,36.115152
-121.634998,36.114272
-121.633238,36.113099
-121.632651,36.112512
-121.632358,36.111632
-121.632064,36.111045
-121.631478,36.109285
-121.629424,36.107525
-121.629131,36.106352
-121.628544,36.105765
-121.628544,36.104885
-121.625317,36.101951
-121.625024,36.100778
-121.624437,36.099898
-121.624437,36.096378
-121.623557,36.095791
-121.623557,36.094031
-121.622677,36.092858
-121.622677,36.091684
-121.62209,36.090804
-121.621797,36.086697
-121.62121,36.085817
-121.62033,36.085817
-121.620037,36.085524
-121.61857,36.084057
-121.617397,36.084057
-121.61505,36.08171
-121.61505,36.08083
-121.61329,36.078776
-121.612996,36.078776
-121.611823,36.07731
-121.61153,36.07643
-121.611236,36.075843
-121.610063,36.07555
-121.609476,36.074963
-121.608889,36.073789
-121.607716,36.072323
-121.607423,36.071443
-121.607129,36.070856
-121.605663,36.070856
-121.604782,36.069389
-121.604196,36.069389
-121.601556,36.069096
-121.600675,36.068216
-121.600382,36.068216
-121.598622,36.067042
-121.597449,36.066456
-121.595688,36.064695
-121.594222,36.063229
-121.594222,36.062935
-121.594222,36.062055
-121.594515,36.056775
-121.593928,36.055895
-121.590995,36.053255
-121.590995,36.052961
-121.591582,36.052081
-121.592168,36.051788
-121.593048,36.051495
-121.593635,36.050614
-121.593928,36.048561
-121.593342,36.047681
-121.590408,36.045041
-121.589235,36.045041
-121.588355,36.044161
-121.587768,36.044161
-121.584834,36.04152
-121.584248,36.04152
-121.583954,36.03976
-121.582488,36.038294
-121.582488,36.037414
-121.581901,36.03624
-121.581607,36.03536
-121.580434,36.03448
-121.580141,36.033013
-121.579261,36.032427
-121.578674,36.030666
-121.578674,36.03008
-121.5775,36.028906
-121.5775,36.02832
-121.57662,36.026853
-121.57662,36.025386
-121.576034,36.025093
-121.57574,36.024799
-121.576034,36.024213
-121.576034,36.024213
-121.573687,36.021572
-121.571927,36.020399
-121.570753,36.019812
-121.570167,36.019226
-121.568993,36.019226
-121.567233,36.018345
-121.564886,36.018639
-121.564006,36.019226
-121.562539,36.019226
-121.561659,36.019226
-121.560779,36.018345
-121.556379,36.018639
-121.553445,36.018345
-121.552859,36.018639
-121.551392,36.017465
-121.550805,36.017465
-121.550219,36.016879
-121.548458,36.016585
-121.547285,36.015999
-121.545818,36.015999
-121.544938,36.015119
-121.543765,36.015119
-121.542298,36.014239
-121.535844,36.014239
-121.534964,36.013358
-121.533791,36.013358
-121.532911,36.012772
-121.531737,36.012478
-121.530857,36.011598
-121.53027,36.011598
-121.52939,36.011012
-121.528217,36.010718
-121.526457,36.009252
-121.525283,36.008665
-121.52499,36.008371
-121.523817,36.008078
-121.523523,36.007785
